# Orbital parameters time-series from Laskar et al., 2004. Time-step = 1kyr
# eccentricity    	precession (°)   	obliquity (°)
3.325500000000000e-02	3.779213921752924e+03	2.246275306232441e+01
3.278100000000000e-02	3.798477794149253e+03	2.241336410038414e+01
3.224600000000000e-02	3.817865024358875e+03	2.238437243595051e+01
3.176600000000000e-02	3.837314019418811e+03	2.237675209727528e+01
3.115700000000000e-02	3.856702739318699e+03	2.239033119701988e+01
3.065300000000000e-02	3.876254924077538e+03	2.242447948160967e+01
3.006300000000000e-02	3.895869389348709e+03	2.247770726077733e+01
2.941100000000000e-02	3.915433090559229e+03	2.254777999912183e+01
2.885900000000000e-02	3.935061994366837e+03	2.263206209078557e+01
2.823000000000000e-02	3.954837861848895e+03	2.272757415523388e+01
2.755400000000000e-02	3.974592948563084e+03	2.283087844569597e+01
2.700100000000000e-02	3.994378441736101e+03	2.293859451118056e+01
2.633600000000000e-02	4.014288094863322e+03	2.304762837959396e+01
2.577400000000000e-02	4.034299161520283e+03	2.315477148728342e+01
2.517100000000000e-02	4.054295331274569e+03	2.325727363683232e+01
2.464400000000000e-02	4.074372803739984e+03	2.335261381394209e+01
2.415900000000000e-02	4.094655165912938e+03	2.343838559587318e+01
2.362500000000000e-02	4.114760885197653e+03	2.351258363034262e+01
2.322300000000000e-02	4.135179439438511e+03	2.357337445240600e+01
2.281800000000000e-02	4.155404104761495e+03	2.361909648445744e+01
2.243200000000000e-02	4.175945443857848e+03	2.364877569824521e+01
2.210200000000000e-02	4.196413100581747e+03	2.366166724863566e+01
2.180100000000000e-02	4.216846265246380e+03	2.365725547361315e+01
2.157600000000000e-02	4.237667494225654e+03	2.363599873941380e+01
2.134200000000000e-02	4.258237710394881e+03	2.359852729961224e+01
2.114700000000000e-02	4.278984741339687e+03	2.354633084447583e+01
2.109900000000000e-02	4.299861088858854e+03	2.348095636005140e+01
2.094400000000000e-02	4.320715681581899e+03	2.340469567751948e+01
2.092200000000000e-02	4.341647606007193e+03	2.331978333228110e+01
2.096800000000000e-02	4.362570019333087e+03	2.322856845129627e+01
2.098800000000000e-02	4.383642547601306e+03	2.313362934464309e+01
2.114800000000000e-02	4.404604495015064e+03	2.303737243506111e+01
2.125000000000000e-02	4.425520147438977e+03	2.294231873684891e+01
2.150400000000000e-02	4.446496647980732e+03	2.285081737696652e+01
2.175000000000000e-02	4.467424790884577e+03	2.276527477815349e+01
2.197300000000000e-02	4.488099170780961e+03	2.268804006736985e+01
2.236100000000000e-02	4.508855025275810e+03	2.262134778001662e+01
2.263700000000000e-02	4.529431372093446e+03	2.256737515571530e+01
2.299000000000000e-02	4.549971049612193e+03	2.252812754674884e+01
2.332700000000000e-02	4.570265329307287e+03	2.250509464338458e+01
2.368500000000000e-02	4.590525059647332e+03	2.249913588231522e+01
2.401200000000000e-02	4.610839736639933e+03	2.251070962977686e+01
2.433200000000000e-02	4.630709053538377e+03	2.253952940687194e+01
2.466500000000000e-02	4.650745616817219e+03	2.258467848112825e+01
2.498700000000000e-02	4.670603703742879e+03	2.264501093695553e+01
2.524100000000000e-02	4.690283904873244e+03	2.271834953473227e+01
2.556400000000000e-02	4.709928163949761e+03	2.280274621795504e+01
2.583300000000000e-02	4.729388102503585e+03	2.289562267654575e+01
2.605700000000000e-02	4.748806730800379e+03	2.299457248776484e+01
2.632000000000000e-02	4.768125836328160e+03	2.309707463731375e+01
2.655000000000000e-02	4.787148092422282e+03	2.320066540667340e+01
2.678900000000000e-02	4.806390077830838e+03	2.330259459842717e+01
2.696300000000000e-02	4.825168024721116e+03	2.340016931093795e+01
2.717300000000000e-02	4.843993584404172e+03	2.349098312146619e+01
2.737500000000000e-02	4.862739044587467e+03	2.357217124103622e+01
2.750300000000000e-02	4.881216074043743e+03	2.364132724690852e+01
2.759200000000000e-02	4.899731835446970e+03	2.369638849102059e+01
2.775900000000000e-02	4.918038868325430e+03	2.373489125485338e+01
2.775800000000000e-02	4.936417921998741e+03	2.375540314391906e+01
2.780100000000000e-02	4.954629843883211e+03	2.375666365106835e+01
2.780000000000000e-02	4.972736226941816e+03	2.373809981850611e+01
2.774900000000000e-02	4.991037415650766e+03	2.369976894201186e+01
2.767200000000000e-02	5.009154455724362e+03	2.364258775405780e+01
2.754600000000000e-02	5.027238550724738e+03	2.356741569133664e+01
2.741900000000000e-02	5.045567259007949e+03	2.347637269769035e+01
2.723300000000000e-02	5.063703493167681e+03	2.337163601274044e+01
2.701900000000000e-02	5.082050174725565e+03	2.325549746766742e+01
2.682200000000000e-02	5.100312516896006e+03	2.313128021768306e+01
2.657800000000000e-02	5.118706868542445e+03	2.300207823488105e+01
2.626600000000000e-02	5.137244402341888e+03	2.287115737869366e+01
2.603800000000000e-02	5.155578650715618e+03	2.274229917056874e+01
2.572500000000000e-02	5.174251746329388e+03	2.261945701929269e+01
2.539400000000000e-02	5.192804463510401e+03	2.250635515053387e+01
2.506700000000000e-02	5.211375744523975e+03	2.240723345197623e+01
2.468600000000000e-02	5.230077659914841e+03	2.232593074084717e+01
2.435400000000000e-02	5.248728295583042e+03	2.226565558079941e+01
2.385700000000000e-02	5.267393255196121e+03	2.222927276080860e+01
2.346100000000000e-02	5.286044521117898e+03	2.221873033737819e+01
2.299300000000000e-02	5.304747926199029e+03	2.223477315564186e+01
2.243900000000000e-02	5.323408187558190e+03	2.227751580715861e+01
2.193500000000000e-02	5.342018830772290e+03	2.234564048899967e+01
2.135900000000000e-02	5.360569886375696e+03	2.243685536998450e+01
2.075800000000000e-02	5.379326977602234e+03	2.254841025269647e+01
2.014100000000000e-02	5.397701905979417e+03	2.267675279880578e+01
1.947700000000000e-02	5.416281340593778e+03	2.281752852906942e+01
1.884800000000000e-02	5.434875482623378e+03	2.296712780937807e+01
1.811900000000000e-02	5.453348501375089e+03	2.312085238581167e+01
1.742200000000000e-02	5.471818540746266e+03	2.327434777912723e+01
1.677500000000000e-02	5.490413370325220e+03	2.342360328475880e+01
1.596900000000000e-02	5.508960128745163e+03	2.356432171924293e+01
1.530500000000000e-02	5.527594263228865e+03	2.369237778645467e+01
1.457000000000000e-02	5.546108592237605e+03	2.380450562696177e+01
1.384400000000000e-02	5.564947559133066e+03	2.389715290243443e+01
1.310200000000000e-02	5.583686774076393e+03	2.396768400701503e+01
1.233600000000000e-02	5.602422436681391e+03	2.401397899686160e+01
1.160100000000000e-02	5.621775346719084e+03	2.403449088592729e+01
1.081500000000000e-02	5.640959406094554e+03	2.402841753329890e+01
9.989000000000000e-03	5.660758077296858e+03	2.399633189677157e+01
9.275000000000000e-03	5.680918399459448e+03	2.393880693414044e+01
8.444000000000000e-03	5.701913693016884e+03	2.385761881457040e+01
7.678000000000000e-03	5.723657097567421e+03	2.375546043969857e+01
6.975000000000000e-03	5.746389713751253e+03	2.363496741538256e+01
6.295000000000000e-03	5.770854513541417e+03	2.349969207995218e+01
5.768000000000000e-03	5.797223291780486e+03	2.335358784219381e+01
5.285000000000000e-03	5.824665678336071e+03	2.320043622355535e+01
5.145000000000000e-03	5.854363226773294e+03	2.304447711172074e+01
5.155000000000000e-03	5.884774222257012e+03	2.289006498593298e+01
5.374000000000000e-03	5.914491996104400e+03	2.274092407186043e+01
5.901000000000000e-03	5.942782016422103e+03	2.260152344030510e+01
6.501000000000000e-03	5.969461796152369e+03	2.247587379583291e+01
7.314000000000000e-03	5.994893501917503e+03	2.236729829365562e+01
8.127000000000001e-03	6.018638419933771e+03	2.227940656788255e+01
9.034000000000000e-03	6.041428389192894e+03	2.221477692859179e+01
1.006700000000000e-02	6.063630904824670e+03	2.217495636183020e+01
1.099000000000000e-02	6.085158246990664e+03	2.216131996630609e+01
1.205800000000000e-02	6.106169411479024e+03	2.217369585468091e+01
1.313000000000000e-02	6.126681547327920e+03	2.221110999870295e+01
1.418900000000000e-02	6.147246377693874e+03	2.227161434186877e+01
